,UK_B,US_B,JP_B,GE_B,JPY_FX,CNY_FX,EUR_FX,GBP_FX,GOLDS_C,EPRA_X,MXWD_X,NKY_X,SHCOMP_X,SPX_X,SX5E_X,UKX_X,BTC,DASH,ETH,LTC,XRP
2015-08-10,112.30183,110.18455,103.642136,113.70975,124.63,6.2097,1.1019,1.5592,1104.51,2310.8,426.35,20808.69,3928.415,2104.18,3674.94,6736.22,266.21933,3.1045947,1.4,3.8860123,0.00550829
2015-08-11,113.28491,111.10663,103.68383,114.48188,125.13,6.325,1.1042,1.5572,1108.95,2288.11,422.21,20720.75,3927.908,2084.07,3605.28,6664.54,269.25604,3.165552,1.1,3.8860123,0.00550829
2015-08-12,113.73316,111.00414,104.09127,114.83876,124.21,6.3858,1.1159,1.5613,1124.47,2251.78,419.87,20392.77,3886.32,2086.05,3484.41,6571.19,265.41318,3.1632118,1.38,3.8274179,0.00550829
2015-08-13,113.15183,110.63496,103.87841,114.48493,124.43,6.3982,1.115,1.5611,1115.1,2288.31,419.8,20595.55,3954.556,2083.39,3516.15,6568.33,263.0,3.0101979,2.15,3.8123066,0.00550829
2015-08-14,112.79971,110.52347,103.87952,114.22125,124.31,6.3912,1.1109,1.5642,1115.08,2313.47,420.29,20519.45,3965.335,2091.54,3491.03,6550.74,265.0,3.0101979,2.15,3.8123066,0.00550829
2015-08-17,113.20415,110.77658,103.728264,114.4773,124.39,6.3949,1.1078,1.5586,1117.7,2324.66,421.0,20620.26,3993.668,2102.44,3497.9,6550.3,262.11752,4.0,1.34,4.75,0.00550829
2015-08-18,112.72924,110.487434,103.9223,114.27996,124.41,6.3942,1.1024,1.5661,1117.71,2340.28,419.63,20554.47,3748.164,2096.92,3495.38,6526.29,251.0,3.0,1.52,3.7658563,0.00815
2015-08-19,112.88815,111.21485,103.9234,114.34813,123.8,6.3956,1.112,1.568,1133.88,2312.04,415.31,20222.63,3794.109,2079.61,3429.84,6403.45,227.0,2.1,1.3,2.7375,0.00815
2015-08-20,113.90982,111.60975,104.07719,115.060005,123.4,6.3891,1.1242,1.569,1152.2,2272.77,408.57,20033.52,3664.291,2035.73,3353.48,6367.89,234.0,2.1,1.5,2.2,0.00815
2015-08-21,114.41365,111.946526,104.12922,114.950096,122.04,6.3889,1.1386,1.5694,1160.77,2213.22,397.64,19435.83,3507.744,1970.89,3247.26,6187.65,233.13,2.8356063,1.5,3.8587267,0.00815
2015-08-24,114.6697,112.14386,104.17108,115.13029,118.41,6.4041,1.1619,1.5776,1155.11,2082.54,382.36,18540.68,3209.905,1893.21,3073.39,5898.87,211.0,2.5926754,1.3,3.74,0.00815
2015-08-25,113.87295,111.388145,103.91722,113.37058,118.83,6.4128,1.1517,1.5687,1140.49,2157.04,381.91,17806.7,2964.967,1867.61,3218.01,6081.34,219.0,2.2437675,1.05,1.8832036,0.00815
2015-08-26,113.28032,110.46289,103.91832,113.831894,119.92,6.4093,1.1314,1.5463,1125.26,2118.33,388.96,18376.83,2927.288,1940.51,3170.73,5979.2,227.98,2.5268528,1.0,2.8,0.00815
2015-08-27,112.886734,110.43037,103.766975,113.33017,121.03,6.4056,1.1246,1.5403,1125.0,2176.63,397.58,18574.44,3083.591,1987.66,3280.78,6192.03,217.25287,2.5201383,1.27,2.7,0.00815
2015-08-28,113.486435,110.46665,103.808716,113.58336,121.71,6.3896,1.1185,1.5391,1133.6,2162.49,399.56,19136.32,3232.349,1988.87,3286.59,6247.94,233.99,2.1362412,1.0600001,2.7,0.0055083
2015-08-31,113.49225,110.20838,103.850464,113.05077,121.23,6.379,1.1211,1.5345,1134.93,2169.74,396.73,18890.48,3205.986,1972.18,3269.63,6156.279,225.04,2.70826,1.3,2.4699392,0.0055083
2015-09-01,113.29244,110.73572,103.96341,112.57627,119.37,6.3642,1.1315,1.5304,1140.27,2116.6,386.17,18165.69,3166.624,1913.85,3188.73,6058.54,223.9447,2.5120428,1.2500005,2.4699392,0.00953609
2015-09-02,113.23675,111.36605,103.91362,112.69735,120.33,6.3559,1.1227,1.5299,1134.05,2145.55,389.22,18095.4,3160.167,1948.86,3198.86,6083.31,226.0,2.5120428,1.2600013,2.4699392,0.00953609
2015-09-03,113.41712,111.6817,103.863884,113.27405,120.07,6.3559,1.1123,1.5258,1125.46,2186.28,391.03,18182.39,3125.1504,1951.13,3270.09,6194.1,230.0,2.5120428,1.2194002,2.47,0.00953608
2015-09-04,114.33164,112.048805,104.16014,114.05258,118.99,6.3559,1.1149,1.517,1121.86,2141.52,384.49,17792.16,3066.5977,1921.22,3180.25,6042.92,231.0,2.5047083,1.2193999,2.47,0.00953608
2015-09-07,114.57694,112.055214,104.15097,114.0325,119.28,6.3657,1.117,1.5277,1119.35,2140.99,384.65,17860.47,3080.42,1945.2767,3197.97,6074.52,245.0,2.6012886,1.3499999,3.2,0.00952999
2015-09-08,114.3009,111.41051,104.23368,113.96842,119.81,6.3676,1.1203,1.5396,1121.55,2166.03,391.42,17427.08,3170.452,1969.41,3233.84,6146.1,243.5,2.6012886,1.3499999,2.8500345,0.00952999
2015-09-09,114.02599,111.526695,104.19383,113.706795,120.5,6.3782,1.1207,1.5368,1107.85,2185.39,392.54,18770.51,3243.089,1942.04,3269.98,6229.01,240.6,2.6012886,1.2999995,2.8500345,0.00952999
2015-09-10,114.08353,111.174774,104.29702,113.81846,120.62,6.3772,1.128,1.5445,1110.75,2176.76,391.69,18299.62,3197.893,1952.29,3221.14,6155.81,236.53221,2.6012886,1.16,2.9500046,0.00733332
2015-09-11,114.41128,111.51947,104.34917,114.216324,120.59,6.3749,1.1338,1.5429,1107.95,2144.28,391.96,18264.22,3200.234,1961.05,3187.94,6117.76,238.7,2.115682,0.99989885,2.9500225,0.0073278
2015-09-14,114.27111,111.6358,104.23763,114.229256,120.23,6.3679,1.1317,1.5427,1109.1,2129.76,390.74,17965.7,3114.798,1953.03,3175.62,6084.59,228.5,2.3154478,0.871,2.97,0.0073312
2015-09-15,113.530754,110.63846,104.0855,113.20992,120.42,6.3699,1.1269,1.5344,1105.35,2121.22,393.69,18026.48,3005.172,1978.09,3207.6,6137.6,233.0,2.3635616,0.88850003,2.9999967,0.0073312
2015-09-16,113.33091,109.58712,104.13754,113.04898,120.57,6.3708,1.129,1.5493,1119.52,2137.32,398.75,18171.6,3152.263,1995.31,3251.79,6229.21,230.00003,2.375,0.9999988,2.9955912,0.0073312
2015-09-17,113.080475,110.53025,104.18961,112.94266,120.01,6.3658,1.1435,1.5591,1131.51,2142.75,398.77,18432.27,3086.061,1990.2,3255.79,6186.99,232.5,2.4549098,0.84,2.8583407,0.0073312
2015-09-18,114.15593,111.16852,104.48719,114.02408,119.98,6.3643,1.1298,1.5536,1139.23,2151.39,394.04,18070.21,3097.917,1958.03,3157.3,6104.11,238.264,2.4192934,0.85,2.9553726,0.0073312
