,SP500,FTSE,EuroStoxx50,Russel2000,EuroStox_Small,FTSE_Small,MSCI_EM,CRB,Gold,US-2Y,US-5Y,US-10Y,US-30Y,French-2Y,French-5Y,French-10Y,French-30Y
1989-02-01,297.09,2039.8,875.47,154.278,117.5,1636.57,133.58,286.67,392.8,100.031,100.345,101.08,101.936,99.081,99.039,99.572,100.0
1989-02-02,296.84,2043.5,878.08,154.789,117.69,1642.94,135.05,287.03,391.1,100.0,100.314,101.017,101.905,98.898,99.117,99.278,99.692
1989-02-03,296.97,2069.9,884.09,155.522,118.62,1659.11,137.13,285.63,390.0,99.812,100.062,100.921,101.718,98.907,99.002,99.145,99.178
1989-02-06,296.04,2044.3,885.49,155.413,118.89,1656.86,137.04,284.69,387.9,99.812,100.062,100.794,101.468,98.484,98.502,98.51,97.739
1989-02-07,299.63,2072.8,883.82,156.692,118.28,1662.76,136.91,284.21,391.0,99.906,100.251,101.144,102.092,98.438,98.312,98.292,97.688
1989-02-08,298.65,2096.2,891.81,156.861,118.73,1681.85,137.03,284.38,390.55,99.812,100.156,101.016,101.655,98.558,98.658,98.756,97.893
1989-02-09,296.06,2079.1,889.28,156.463,119.02,1685.32,137.09,285.47,393.8,99.781,99.779,100.063,100.03,98.558,98.582,98.718,97.893
1989-02-10,292.02,2056.1,888.1,154.922,118.97,1675.42,138.3,285.11,389.6,99.624,99.308,99.458,99.093,98.677,98.506,98.576,98.355
1989-02-13,292.54,2032.7,876.81,154.463,118.01,1666.27,137.21,284.01,384.5,99.624,99.308,99.458,99.093,98.346,98.126,98.016,96.814
1989-02-14,291.81,2049.1,878.7,154.906,117.99,1675.12,137.15,285.09,384.1,99.624,99.151,99.172,98.625,98.163,98.012,97.741,96.197
1989-02-15,294.24,2047.5,870.83,155.53,116.97,1677.66,138.24,285.49,381.0,99.687,99.214,99.458,98.968,98.025,97.333,97.333,95.58
1989-02-16,294.81,2033.8,872.89,156.254,117.24,1680.15,138.76,284.28,384.25,99.718,99.308,99.427,99.124,98.117,97.333,97.627,95.786
1989-02-17,296.76,2042.9,869.54,157.01,117.17,1680.31,139.23,284.68,380.4,99.655,99.308,99.49,99.312,97.887,97.335,97.276,94.861
1989-02-20,296.76,2065.8,876.73,157.07,117.78,1691.57,139.3,284.68,382.5,99.655,99.308,99.49,99.312,97.795,97.04,97.105,95.169
1989-02-21,295.98,2061.0,874.7,156.672,118.09,1698.77,140.53,286.28,383.5,99.593,99.182,99.331,99.249,97.694,97.005,96.916,94.553
1989-02-22,290.91,2033.7,867.41,155.332,117.89,1696.0,142.16,286.17,386.75,99.405,98.868,98.886,98.593,97.722,96.856,96.527,94.039
1989-02-23,292.05,2016.6,856.7,155.397,116.49,1687.35,142.45,286.82,390.5,99.312,98.648,98.632,98.343,97.566,96.635,95.986,92.6
1989-02-24,287.13,2019.6,864.05,154.214,117.56,1691.76,143.3,285.46,388.4,99.187,98.491,98.314,97.906,97.612,96.747,96.014,93.319
1989-02-27,287.82,1996.7,845.09,153.9,115.13,1681.28,142.92,287.09,390.6,99.249,98.648,98.504,98.218,97.336,96.716,95.73,93.319
